2019-02-12 21:30:31,475 [D]  : : :pass:mbe.c:79	(at logger.py:129) 
2019-02-12 21:30:31,475 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 21:30:31,475 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 21:30:31,475 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 21:30:31,475 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 21:30:31,495 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:30:31,515 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:30:31,515 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:30:31,536 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:30:31,536 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:30:31,536 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:31,591 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 21:30:31,609 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:30:31,609 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:31,628 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:30:31,628 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:31,628 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:31,646 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:31,663 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:31,663 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:31,705 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:31,705 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:31,705 [D] └:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:31,723 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:31,740 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:31,740 [D] └:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:31,757 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:31,758 [D] |:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:31,758 [D] └:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 21:30:31,758 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 21:30:31,758 [D]  : : :pass:mbe.c:69	(at logger.py:129) 
2019-02-12 21:30:31,758 [D]  : : :pass:mbe.c:68	(at logger.py:129) 
2019-02-12 21:30:31,758 [D]  : : :pass:mbe.c:67	(at logger.py:129) 
2019-02-12 21:30:31,758 [D]  : : :pass:mbe.c:66	(at logger.py:129) 
2019-02-12 21:30:31,758 [D]  : : :pass:mbe.c:65	(at logger.py:129) 
2019-02-12 21:30:31,780 [D] -:F:n:WD_1:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:31,797 [D] ┌:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:31,797 [D] └:F:n:WD_2:mbe.c:44	(at logger.py:129) 
2019-02-12 21:30:31,818 [D] ┌:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:31,818 [D] |:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 21:30:31,819 [D] └:F:n:WD_3:mbe.c:43	(at logger.py:129) 
