2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:48,636 [D]  : : :pass:mug.c:52	(at logger.py:129) 
2019-03-02 02:04:48,636 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:48,650 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:48,650 [D] └:F:n:WD_2:mug.c:17	(at logger.py:129) 
2019-03-02 02:04:48,663 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:48,663 [D] |:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:04:48,663 [D] └:F:n:WD_3:mug.c:13	(at logger.py:129) 
2019-03-02 02:04:48,663 [D]  : : :pass:mug.c:50	(at logger.py:129) 
2019-03-02 02:04:48,663 [D]  : : :pass:mug.c:49	(at logger.py:129) 
2019-03-02 02:04:48,663 [D]  : : :pass:mug.c:48	(at logger.py:129) 
2019-03-02 02:04:48,663 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:04:48,663 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:04:48,663 [D]  : : :pass:mug.c:45	(at logger.py:129) 
2019-03-02 02:04:48,664 [D]  : : :pass:mug.c:44	(at logger.py:129) 
2019-03-02 02:04:48,664 [D]  : : :pass:mug.c:43	(at logger.py:129) 
2019-03-02 02:04:48,664 [D]  : : :pass:mug.c:42	(at logger.py:129) 
2019-03-02 02:04:48,664 [D]  : : :pass:mug.c:41	(at logger.py:129) 
2019-03-02 02:04:48,664 [D]  : : :pass:mug.c:40	(at logger.py:129) 
2019-03-02 02:04:48,664 [D]  : : :pass:mug.c:39	(at logger.py:129) 
2019-03-02 02:04:48,664 [D]  : : :pass:mug.c:38	(at logger.py:129) 
2019-03-02 02:04:48,664 [D]  : : :pass:mug.c:37	(at logger.py:129) 
2019-03-02 02:04:48,664 [D]  : : :pass:mug.c:36	(at logger.py:129) 
2019-03-02 02:04:48,664 [D]  : : :pass:mug.c:35	(at logger.py:129) 
