2019-02-12 22:32:27,762 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 22:32:27,786 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 22:32:27,786 [D] └:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 22:32:27,834 [D] ┌:P:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 22:32:27,835 [D] |:P:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 22:32:27,835 [D] └:P:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 22:32:27,835 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 22:32:27,835 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 22:32:27,835 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 22:32:27,835 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 22:32:27,850 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 22:32:27,864 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 22:32:27,864 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:32:27,879 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:32:27,879 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:32:27,879 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:27,928 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 22:32:27,944 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:32:27,944 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:27,959 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:32:27,959 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:27,959 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:27,979 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:27,995 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:27,996 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:28,012 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:28,012 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:28,012 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:28,034 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:28,050 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:28,050 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:28,066 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:28,066 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:28,066 [D] └:F:n:WD_3:mbe.c:68	(at logger.py:129) 
