2019-02-12 22:32:40,094 [D]  : : :pass:mbe.c:79	(at logger.py:129) 
2019-02-12 22:32:40,094 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 22:32:40,094 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 22:32:40,094 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 22:32:40,094 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 22:32:40,110 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 22:32:40,126 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 22:32:40,126 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:32:40,144 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:32:40,144 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:32:40,144 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:40,195 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 22:32:40,211 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:32:40,211 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:40,226 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:32:40,226 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:40,226 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:40,242 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:40,258 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:40,259 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:40,280 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:32:40,280 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:40,280 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:40,298 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:40,316 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:40,316 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:40,332 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:32:40,332 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:40,332 [D] └:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:32:40,332 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 22:32:40,347 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:40,362 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:40,362 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:32:40,377 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:40,377 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:32:40,377 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:40,424 [D] -:C:n:WD_1:mbe.c:68	(at logger.py:129) 
2019-02-12 22:32:40,439 [D] ┌:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:32:40,439 [D] └:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:40,455 [D] ┌:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:32:40,456 [D] |:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:40,456 [D] └:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:40,472 [D] -:F:n:WD_1:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:40,488 [D] ┌:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:40,488 [D] └:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:40,526 [D] ┌:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:40,526 [D] |:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:40,527 [D] └:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:40,543 [D] -:F:n:WD_1:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:40,559 [D] ┌:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:40,559 [D] └:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:40,575 [D] ┌:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:40,576 [D] |:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:40,576 [D] └:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 22:32:40,576 [D]  : : :pass:mbe.c:65	(at logger.py:129) 
2019-02-12 22:32:40,593 [D] -:F:n:WD_1:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:40,609 [D] ┌:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:40,610 [D] └:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 22:32:40,626 [D] ┌:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:40,626 [D] |:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 22:32:40,626 [D] └:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:32:40,675 [D] -:C:n:WD_1:mbe.c:63	(at logger.py:129) 
