2019-02-12 22:38:34,031 [D]  : : :pass:mbe.c:79	(at logger.py:129) 
2019-02-12 22:38:34,031 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 22:38:34,031 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 22:38:34,031 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 22:38:34,031 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 22:38:34,046 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 22:38:34,059 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 22:38:34,059 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:38:34,073 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:38:34,073 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:38:34,073 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:38:35,122 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 22:38:35,175 [D] ┌:C:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:38:35,175 [D] └:C:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:38:35,189 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:38:35,189 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:38:35,189 [D] └:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 22:38:35,231 [D] -:C:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 22:38:35,247 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:38:35,247 [D] └:F:n:WD_2:mbe.c:70	(at logger.py:129) 
2019-02-12 22:38:35,261 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:38:35,261 [D] |:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 22:38:35,261 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:38:35,261 [D]  : : :pass:mbe.c:71	(at logger.py:129) 
2019-02-12 22:38:35,279 [D] -:F:n:WD_1:mbe.c:70	(at logger.py:129) 
2019-02-12 22:38:35,292 [D] ┌:F:n:WD_2:mbe.c:70	(at logger.py:129) 
2019-02-12 22:38:35,292 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:38:35,330 [D] ┌:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 22:38:35,330 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:38:35,330 [D] └:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:38:35,343 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 22:38:35,356 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:38:35,356 [D] └:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 22:38:35,369 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:38:35,369 [D] |:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:38:35,369 [D] └:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 22:38:35,370 [D]  : : :pass:mbe.c:68	(at logger.py:129) 
2019-02-12 22:38:35,370 [D]  : : :pass:mbe.c:67	(at logger.py:129) 
2019-02-12 22:38:35,370 [D]  : : :pass:mbe.c:66	(at logger.py:129) 
