2019-02-12 22:35:27,038 [D]  : : :pass:mbe.c:79	(at logger.py:129) 
2019-02-12 22:35:27,038 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 22:35:27,038 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 22:35:27,038 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 22:35:27,038 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 22:35:27,053 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 22:35:27,069 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 22:35:27,069 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:35:27,087 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:35:27,087 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:35:27,088 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:35:27,140 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 22:35:27,156 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:35:27,156 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:35:27,174 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:35:27,174 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:35:27,174 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:35:27,189 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 22:35:27,204 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:35:27,204 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:35:27,220 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:35:27,221 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:35:27,221 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:35:27,236 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 22:35:27,253 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:35:27,253 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:35:27,270 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:35:27,270 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:35:27,270 [D] └:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:35:27,270 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 22:35:27,288 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 22:35:27,305 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:35:27,305 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:35:27,324 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:35:27,324 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:35:27,324 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:35:27,369 [D] -:C:n:WD_1:mbe.c:68	(at logger.py:129) 
2019-02-12 22:35:27,384 [D] ┌:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:35:27,384 [D] └:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:35:27,400 [D] ┌:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:35:27,400 [D] |:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:35:27,400 [D] └:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 22:35:27,445 [D] -:F:n:WD_1:mbe.c:67	(at logger.py:129) 
2019-02-12 22:35:27,474 [D] ┌:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:35:27,474 [D] └:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 22:35:27,518 [D] ┌:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:35:27,518 [D] |:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 22:35:27,518 [D] └:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:35:27,533 [D] -:F:n:WD_1:mbe.c:66	(at logger.py:129) 
