2019-03-02 02:04:56,721 [D]  : : :pass:mug.c:65	(at logger.py:129) 
2019-03-02 02:04:56,721 [D]  : : :pass:mug.c:64	(at logger.py:129) 
2019-03-02 02:04:56,721 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:56,721 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:04:56,721 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:56,721 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:56,721 [D]  : : :pass:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:56,721 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:04:56,733 [D] -:F:n:WD_1:mug.c:57	(at logger.py:129) 
2019-03-02 02:04:56,744 [D] ┌:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:04:56,744 [D] └:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:04:56,757 [D] ┌:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:04:56,757 [D] |:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:04:56,757 [D] └:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:56,802 [D] -:C:n:WD_1:mug.c:56	(at logger.py:129) 
2019-03-02 02:04:56,816 [D] ┌:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:04:56,816 [D] └:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:56,831 [D] ┌:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:04:56,831 [D] |:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:56,831 [D] └:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:56,843 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:56,857 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:56,857 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:56,893 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:56,893 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:56,893 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:56,906 [D] -:F:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:56,918 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:56,918 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:56,929 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:56,930 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:56,930 [D] └:F:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:04:56,941 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:56,955 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:56,955 [D] └:F:n:WD_2:mug.c:41	(at logger.py:129) 
2019-03-02 02:04:56,968 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:56,968 [D] |:F:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:04:56,968 [D] └:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:04:56,968 [D]  : : :pass:mug.c:52	(at logger.py:129) 
2019-03-02 02:04:56,968 [D]  : : :pass:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:56,968 [D]  : : :pass:mug.c:50	(at logger.py:129) 
2019-03-02 02:04:56,968 [D]  : : :pass:mug.c:49	(at logger.py:129) 
2019-03-02 02:04:56,968 [D]  : : :pass:mug.c:48	(at logger.py:129) 
2019-03-02 02:04:56,968 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:04:56,968 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:04:56,968 [D]  : : :pass:mug.c:45	(at logger.py:129) 
2019-03-02 02:04:56,968 [D]  : : :pass:mug.c:44	(at logger.py:129) 
2019-03-02 02:04:56,969 [D]  : : :pass:mug.c:43	(at logger.py:129) 
2019-03-02 02:04:56,969 [D]  : : :pass:mug.c:42	(at logger.py:129) 
2019-03-02 02:04:56,982 [D] -:F:n:WD_1:mug.c:41	(at logger.py:129) 
2019-03-02 02:04:56,995 [D] ┌:F:n:WD_2:mug.c:41	(at logger.py:129) 
2019-03-02 02:04:56,995 [D] └:F:n:WD_2:mug.c:40	(at logger.py:129) 
2019-03-02 02:04:57,034 [D] ┌:C:c:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:04:57,034 [D] |:C:c:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:04:57,034 [D] └:C:c:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:04:57,068 [D] -:C:c:WD_1:mug.c:40	(at logger.py:129) 
2019-03-02 02:04:57,081 [D] ┌:F:n:WD_2:mug.c:40	(at logger.py:129) 
2019-03-02 02:04:57,081 [D] └:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:04:57,081 [D] ┌:C:c:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:04:57,081 [D] |:C:c:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:04:57,082 [D] └:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:04:57,093 [D] -:F:n:WD_1:mug.c:39	(at logger.py:129) 
2019-03-02 02:04:57,126 [D] ┌:C:c:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:04:57,127 [D] └:C:c:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:04:57,160 [D] ┌:C:c:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:04:57,160 [D] |:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:04:57,160 [D] └:C:c:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:04:57,160 [D]  : : :pass:mug.c:38	(at logger.py:129) 
2019-03-02 02:04:57,173 [D] -:F:n:WD_1:mug.c:37	(at logger.py:129) 
2019-03-02 02:04:57,185 [D] ┌:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:04:57,185 [D] └:F:n:WD_2:mug.c:36	(at logger.py:129) 
2019-03-02 02:04:57,185 [D] ┌:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:04:57,185 [D] |:C:c:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:04:57,185 [D] └:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:04:57,216 [D] -:C:c:WD_1:mug.c:36	(at logger.py:129) 
2019-03-02 02:04:57,227 [D] ┌:F:n:WD_2:mug.c:36	(at logger.py:129) 
2019-03-02 02:04:57,227 [D] └:F:n:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:04:57,240 [D] ┌:F:n:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:04:57,240 [D] |:F:n:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:04:57,240 [D] └:F:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:04:57,251 [D] -:F:n:WD_1:mug.c:35	(at logger.py:129) 
2019-03-02 02:04:57,262 [D] ┌:F:n:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:04:57,263 [D] └:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:04:57,275 [D] ┌:F:n:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:04:57,275 [D] |:F:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:04:57,275 [D] └:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:04:57,311 [D] -:C:c:WD_1:mug.c:34	(at logger.py:129) 
2019-03-02 02:04:57,324 [D] ┌:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:04:57,324 [D] └:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:04:57,336 [D] ┌:F:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:04:57,336 [D] |:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:04:57,336 [D] └:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:04:57,348 [D] -:F:n:WD_1:mug.c:33	(at logger.py:129) 
2019-03-02 02:04:57,359 [D] ┌:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:04:57,359 [D] └:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:04:57,389 [D] ┌:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:04:57,389 [D] |:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:04:57,390 [D] └:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:04:57,402 [D] -:F:n:WD_1:mug.c:32	(at logger.py:129) 
2019-03-02 02:04:57,412 [D] ┌:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:04:57,413 [D] └:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:04:57,425 [D] ┌:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:04:57,425 [D] |:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:04:57,425 [D] └:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:04:57,438 [D] -:F:n:WD_1:mug.c:31	(at logger.py:129) 
2019-03-02 02:04:57,450 [D] ┌:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:04:57,450 [D] └:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:04:57,461 [D] ┌:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:04:57,461 [D] |:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:04:57,461 [D] └:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:04:57,461 [D]  : : :pass:mug.c:30	(at logger.py:129) 
2019-03-02 02:04:57,461 [D] -:F:n:WD_1:mug.c:29	(at logger.py:129) 
2019-03-02 02:04:57,475 [D] ┌:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:04:57,475 [D] └:F:n:WD_2:mug.c:28	(at logger.py:129) 
