2019-02-12 22:37:21,621 [D]  : : :pass:mbe.c:79	(at logger.py:129) 
2019-02-12 22:37:21,622 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 22:37:21,622 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 22:37:21,622 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 22:37:21,622 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 22:37:21,637 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 22:37:21,651 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 22:37:21,651 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:37:21,665 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:37:21,665 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:37:21,665 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:21,719 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 22:37:21,733 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:37:21,734 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:21,752 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:37:21,752 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:21,752 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:21,769 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:21,788 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:21,788 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:21,804 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:21,804 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:21,804 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:21,826 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:21,873 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:21,873 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:21,905 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:21,905 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:21,905 [D] └:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:21,905 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 22:37:21,921 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:21,937 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:21,937 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:21,953 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:21,953 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:21,953 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:37:21,999 [D] -:C:n:WD_1:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:22,047 [D] ┌:C:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:22,047 [D] └:C:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:37:22,060 [D] ┌:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:22,061 [D] |:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:37:22,061 [D] └:F:n:WD_3:mbe.c:65	(at logger.py:129) 
2019-02-12 22:37:22,106 [D] -:C:n:WD_1:mbe.c:67	(at logger.py:129) 
2019-02-12 22:37:22,121 [D] ┌:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:37:22,121 [D] └:F:n:WD_2:mbe.c:65	(at logger.py:129) 
