2019-02-12 22:37:12,573 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 22:37:12,588 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 22:37:12,588 [D] └:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 22:37:12,639 [D] ┌:P:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 22:37:12,639 [D] |:P:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 22:37:12,639 [D] └:P:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 22:37:12,639 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 22:37:12,639 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 22:37:12,640 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 22:37:12,640 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 22:37:12,654 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 22:37:12,670 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 22:37:12,670 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:37:12,686 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:37:12,686 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:37:12,686 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:12,736 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 22:37:12,751 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:37:12,751 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:12,768 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:37:12,768 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:12,768 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:12,788 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:12,804 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:12,804 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:12,823 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:37:12,823 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:12,823 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:12,837 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:12,852 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:12,852 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:12,866 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:37:12,867 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:12,867 [D] └:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:12,867 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 22:37:12,881 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:12,896 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:12,896 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:12,911 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:37:12,912 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:12,912 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:37:12,958 [D] -:C:n:WD_1:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:13,009 [D] ┌:C:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:13,009 [D] └:C:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:37:13,028 [D] ┌:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:37:13,028 [D] |:F:n:WD_3:mbe.c:67	(at logger.py:129) 
