2019-03-02 02:04:41,562 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:41,575 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:41,575 [D] └:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:41,616 [D] ┌:P:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:41,616 [D] |:P:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:41,616 [D] └:P:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:41,616 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:04:41,617 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:41,617 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:41,628 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:41,640 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:41,640 [D] └:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:04:41,688 [D] ┌:P:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:41,689 [D] |:P:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:04:41,689 [D] └:P:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:04:41,689 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:04:41,689 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:04:41,689 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:04:41,700 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:41,712 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:41,712 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:41,725 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:41,725 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:41,725 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:41,769 [D] -:P:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:41,780 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:41,794 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:41,794 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:04:41,829 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:41,829 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:04:41,829 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:41,843 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
