2019-03-02 02:04:42,608 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:42,608 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:04:42,608 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:42,608 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:42,608 [D]  : : :pass:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:42,608 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:04:42,608 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:04:42,608 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:04:42,618 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:42,629 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:42,629 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:42,674 [D] ┌:P:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:42,674 [D] |:P:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:42,674 [D] └:P:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:04:42,674 [D]  : : :pass:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:42,674 [D]  : : :pass:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:42,674 [D]  : : :pass:mug.c:52	(at logger.py:129) 
2019-03-02 02:04:42,686 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:42,697 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:42,697 [D] └:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:04:42,710 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:42,710 [D] |:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:04:42,710 [D] └:F:n:WD_3:mug.c:20	(at logger.py:129) 
2019-03-02 02:04:42,710 [D]  : : :pass:mug.c:50	(at logger.py:129) 
2019-03-02 02:04:42,710 [D]  : : :pass:mug.c:49	(at logger.py:129) 
2019-03-02 02:04:42,710 [D]  : : :pass:mug.c:48	(at logger.py:129) 
2019-03-02 02:04:42,710 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:04:42,710 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:04:42,710 [D]  : : :pass:mug.c:45	(at logger.py:129) 
