2019-02-12 22:31:09,239 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 22:31:09,253 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 22:31:09,253 [D] └:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 22:31:09,302 [D] ┌:P:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 22:31:09,302 [D] |:P:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 22:31:09,302 [D] └:P:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 22:31:09,302 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 22:31:09,302 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 22:31:09,302 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 22:31:09,302 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 22:31:09,319 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 22:31:09,334 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 22:31:09,334 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:31:09,347 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:31:09,347 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:31:09,347 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:31:09,387 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 22:31:09,400 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:31:09,400 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:31:09,413 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:31:09,414 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:31:09,414 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:31:09,428 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 22:31:09,441 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:31:09,441 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:31:09,453 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:31:09,453 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:31:09,453 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:31:09,468 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 22:31:09,485 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:31:09,485 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:31:09,485 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:31:09,486 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:31:09,486 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:31:09,486 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 22:31:09,499 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 22:31:09,514 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:31:09,514 [D] └:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:31:09,559 [D] ┌:P:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:31:09,559 [D] |:P:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:31:09,559 [D] └:P:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 22:31:09,559 [D]  : : :pass:mbe.c:68	(at logger.py:129) 
2019-02-12 22:31:09,559 [D]  : : :pass:mbe.c:67	(at logger.py:129) 
2019-02-12 22:31:09,559 [D]  : : :pass:mbe.c:66	(at logger.py:129) 
2019-02-12 22:31:09,559 [D]  : : :pass:mbe.c:65	(at logger.py:129) 
2019-02-12 22:31:09,572 [D] -:F:n:WD_1:mbe.c:64	(at logger.py:129) 
2019-02-12 22:31:09,586 [D] ┌:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 22:31:09,586 [D] └:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 22:31:09,600 [D] ┌:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:31:09,600 [D] |:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 22:31:09,600 [D] └:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:31:09,644 [D] -:P:n:WD_1:mbe.c:63	(at logger.py:129) 
2019-02-12 22:31:09,657 [D] -:F:n:WD_1:mbe.c:62	(at logger.py:129) 
2019-02-12 22:31:09,672 [D] ┌:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 22:31:09,672 [D] └:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 22:31:09,714 [D] ┌:P:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:31:09,714 [D] |:P:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 22:31:09,714 [D] └:P:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 22:31:09,714 [D]  : : :pass:mbe.c:61	(at logger.py:129) 
2019-02-12 22:31:09,714 [D]  : : :pass:mbe.c:60	(at logger.py:129) 
2019-02-12 22:31:09,714 [D]  : : :pass:mbe.c:59	(at logger.py:129) 
2019-02-12 22:31:09,760 [D] -:P:n:WD_1:mbe.c:58	(at logger.py:129) 
2019-02-12 22:31:09,760 [D]  : : :pass:mbe.c:57	(at logger.py:129) 
2019-02-12 22:31:09,760 [D]  : : :pass:mbe.c:56	(at logger.py:129) 
2019-02-12 22:31:09,761 [D]  : : :pass:mbe.c:55	(at logger.py:129) 
2019-02-12 22:31:09,761 [D]  : : :pass:mbe.c:54	(at logger.py:129) 
2019-02-12 22:31:09,761 [D]  : : :pass:mbe.c:53	(at logger.py:129) 
2019-02-12 22:31:09,783 [D] -:F:n:WD_1:mbe.c:52	(at logger.py:129) 
2019-02-12 22:31:09,800 [D] ┌:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 22:31:09,800 [D] └:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 22:31:09,848 [D] ┌:P:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 22:31:09,848 [D] |:P:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 22:31:09,848 [D] └:P:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 22:31:09,848 [D]  : : :pass:mbe.c:51	(at logger.py:129) 
2019-02-12 22:31:09,848 [D]  : : :pass:mbe.c:50	(at logger.py:129) 
2019-02-12 22:31:09,849 [D]  : : :pass:mbe.c:49	(at logger.py:129) 
2019-02-12 22:31:09,863 [D] -:F:n:WD_1:mbe.c:48	(at logger.py:129) 
2019-02-12 22:31:09,877 [D] ┌:F:n:WD_2:mbe.c:48	(at logger.py:129) 
2019-02-12 22:31:09,877 [D] └:F:n:WD_2:mbe.c:47	(at logger.py:129) 
2019-02-12 22:31:09,924 [D] ┌:P:n:WD_3:mbe.c:48	(at logger.py:129) 
2019-02-12 22:31:09,924 [D] |:P:n:WD_3:mbe.c:47	(at logger.py:129) 
2019-02-12 22:31:09,924 [D] └:P:n:WD_3:mbe.c:46	(at logger.py:129) 
2019-02-12 22:31:09,924 [D]  : : :pass:mbe.c:47	(at logger.py:129) 
2019-02-12 22:31:09,924 [D]  : : :pass:mbe.c:46	(at logger.py:129) 
2019-02-12 22:31:09,924 [D]  : : :pass:mbe.c:45	(at logger.py:129) 
2019-02-12 22:31:09,939 [D] -:F:n:WD_1:mbe.c:44	(at logger.py:129) 
2019-02-12 22:31:09,952 [D] ┌:F:n:WD_2:mbe.c:44	(at logger.py:129) 
2019-02-12 22:31:09,952 [D] └:F:n:WD_2:mbe.c:43	(at logger.py:129) 
2019-02-12 22:31:09,968 [D] ┌:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 22:31:09,968 [D] |:F:n:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 22:31:09,968 [D] └:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 22:31:10,015 [D] -:C:n:WD_1:mbe.c:43	(at logger.py:129) 
2019-02-12 22:31:10,029 [D] ┌:F:n:WD_2:mbe.c:43	(at logger.py:129) 
2019-02-12 22:31:10,029 [D] └:F:n:WD_2:mbe.c:42	(at logger.py:129) 
2019-02-12 22:31:10,042 [D] ┌:F:n:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 22:31:10,043 [D] |:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 22:31:10,043 [D] └:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 22:31:10,056 [D] -:F:n:WD_1:mbe.c:42	(at logger.py:129) 
2019-02-12 22:31:10,068 [D] ┌:F:n:WD_2:mbe.c:42	(at logger.py:129) 
2019-02-12 22:31:10,069 [D] └:F:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 22:31:10,083 [D] ┌:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 22:31:10,083 [D] |:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 22:31:10,083 [D] └:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 22:31:11,123 [D] -:C:n:WD_1:mbe.c:41	(at logger.py:129) 
2019-02-12 22:31:11,136 [D] ┌:F:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 22:31:11,136 [D] └:F:n:WD_2:mbe.c:40	(at logger.py:129) 
2019-02-12 22:31:11,149 [D] ┌:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 22:31:11,149 [D] |:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 22:31:11,149 [D] └:F:n:WD_3:mbe.c:39	(at logger.py:129) 
