2019-02-12 21:29:57,140 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 21:29:57,155 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 21:29:57,155 [D] └:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 21:29:57,207 [D] ┌:P:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 21:29:57,207 [D] |:P:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 21:29:57,208 [D] └:P:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:29:57,208 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 21:29:57,208 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 21:29:57,208 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 21:29:57,208 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 21:29:57,224 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:29:57,240 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:29:57,241 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:57,259 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:29:57,259 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:57,259 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:57,323 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:57,343 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:57,343 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:57,362 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:57,362 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:57,362 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:57,380 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:57,396 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:57,396 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:57,413 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:57,413 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:57,413 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:29:57,432 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:57,448 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:57,448 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:29:57,448 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:57,448 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:29:57,448 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:29:57,448 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 21:29:57,464 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 21:29:57,482 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:29:57,482 [D] └:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 21:29:57,545 [D] ┌:P:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:29:57,546 [D] |:P:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:29:57,546 [D] └:P:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:29:57,546 [D]  : : :pass:mbe.c:68	(at logger.py:129) 
2019-02-12 21:29:57,546 [D]  : : :pass:mbe.c:67	(at logger.py:129) 
2019-02-12 21:29:57,546 [D]  : : :pass:mbe.c:66	(at logger.py:129) 
2019-02-12 21:29:57,546 [D]  : : :pass:mbe.c:65	(at logger.py:129) 
2019-02-12 21:29:57,565 [D] -:F:n:WD_1:mbe.c:64	(at logger.py:129) 
2019-02-12 21:29:57,582 [D] ┌:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 21:29:57,582 [D] └:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 21:29:57,598 [D] ┌:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:29:57,598 [D] |:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 21:29:57,598 [D] └:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 21:29:57,653 [D] -:P:n:WD_1:mbe.c:63	(at logger.py:129) 
2019-02-12 21:29:57,674 [D] -:F:n:WD_1:mbe.c:62	(at logger.py:129) 
2019-02-12 21:29:57,693 [D] ┌:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 21:29:57,694 [D] └:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 21:29:57,746 [D] ┌:P:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 21:29:57,747 [D] |:P:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 21:29:57,747 [D] └:P:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 21:29:57,747 [D]  : : :pass:mbe.c:61	(at logger.py:129) 
2019-02-12 21:29:57,747 [D]  : : :pass:mbe.c:60	(at logger.py:129) 
2019-02-12 21:29:57,747 [D]  : : :pass:mbe.c:59	(at logger.py:129) 
2019-02-12 21:29:57,994 [D] -:P:n:WD_1:mbe.c:58	(at logger.py:129) 
2019-02-12 21:29:57,994 [D]  : : :pass:mbe.c:57	(at logger.py:129) 
2019-02-12 21:29:57,994 [D]  : : :pass:mbe.c:56	(at logger.py:129) 
2019-02-12 21:29:57,994 [D]  : : :pass:mbe.c:55	(at logger.py:129) 
2019-02-12 21:29:57,994 [D]  : : :pass:mbe.c:54	(at logger.py:129) 
2019-02-12 21:29:57,994 [D]  : : :pass:mbe.c:53	(at logger.py:129) 
2019-02-12 21:29:58,362 [D] -:F:n:WD_1:mbe.c:52	(at logger.py:129) 
2019-02-12 21:29:58,795 [D] ┌:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 21:29:58,796 [D] └:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 21:29:59,192 [D] ┌:P:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 21:29:59,192 [D] |:P:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 21:29:59,192 [D] └:P:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 21:29:59,192 [D]  : : :pass:mbe.c:51	(at logger.py:129) 
2019-02-12 21:29:59,192 [D]  : : :pass:mbe.c:50	(at logger.py:129) 
2019-02-12 21:29:59,192 [D]  : : :pass:mbe.c:49	(at logger.py:129) 
2019-02-12 21:29:59,376 [D] -:F:n:WD_1:mbe.c:48	(at logger.py:129) 
2019-02-12 21:29:59,389 [D] ┌:F:n:WD_2:mbe.c:48	(at logger.py:129) 
2019-02-12 21:29:59,389 [D] └:F:n:WD_2:mbe.c:47	(at logger.py:129) 
2019-02-12 21:29:59,432 [D] ┌:P:n:WD_3:mbe.c:48	(at logger.py:129) 
2019-02-12 21:29:59,433 [D] |:P:n:WD_3:mbe.c:47	(at logger.py:129) 
2019-02-12 21:29:59,433 [D] └:P:n:WD_3:mbe.c:46	(at logger.py:129) 
2019-02-12 21:29:59,433 [D]  : : :pass:mbe.c:47	(at logger.py:129) 
2019-02-12 21:29:59,433 [D]  : : :pass:mbe.c:46	(at logger.py:129) 
2019-02-12 21:29:59,433 [D]  : : :pass:mbe.c:45	(at logger.py:129) 
2019-02-12 21:29:59,449 [D] -:F:n:WD_1:mbe.c:44	(at logger.py:129) 
2019-02-12 21:29:59,462 [D] ┌:F:n:WD_2:mbe.c:44	(at logger.py:129) 
2019-02-12 21:29:59,462 [D] └:F:n:WD_2:mbe.c:43	(at logger.py:129) 
2019-02-12 21:29:59,476 [D] ┌:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 21:29:59,476 [D] |:F:n:WD_3:mbe.c:43	(at logger.py:129) 
