2019-03-02 02:04:36,730 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:36,730 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:04:36,730 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:36,731 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:36,731 [D]  : : :pass:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:36,731 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:04:36,731 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:04:36,731 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:04:36,742 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:36,754 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:36,755 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:36,793 [D] ┌:P:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:04:36,793 [D] |:P:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:36,793 [D] └:P:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:04:36,794 [D]  : : :pass:mug.c:54	(at logger.py:129) 
2019-03-02 02:04:36,794 [D]  : : :pass:mug.c:53	(at logger.py:129) 
2019-03-02 02:04:36,794 [D]  : : :pass:mug.c:52	(at logger.py:129) 
2019-03-02 02:04:36,805 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:36,817 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:36,817 [D] └:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:04:36,827 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:36,827 [D] |:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:04:36,827 [D] └:F:n:WD_3:mug.c:20	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:50	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:49	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:48	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:45	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:44	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:43	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:42	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:41	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:40	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:39	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:38	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:37	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:36	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:35	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:34	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:33	(at logger.py:129) 
2019-03-02 02:04:36,828 [D]  : : :pass:mug.c:32	(at logger.py:129) 
2019-03-02 02:04:36,829 [D]  : : :pass:mug.c:31	(at logger.py:129) 
2019-03-02 02:04:36,829 [D]  : : :pass:mug.c:30	(at logger.py:129) 
2019-03-02 02:04:36,829 [D]  : : :pass:mug.c:29	(at logger.py:129) 
2019-03-02 02:04:36,829 [D]  : : :pass:mug.c:28	(at logger.py:129) 
2019-03-02 02:04:36,840 [D] -:F:n:WD_1:mug.c:27	(at logger.py:129) 
2019-03-02 02:04:36,875 [D] ┌:P:c:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:04:36,875 [D] └:P:c:WD_2:mug.c:20	(at logger.py:129) 
