2019-02-12 21:27:04,106 [D]  : : :pass:mbe.c:81	(at logger.py:129) 
2019-02-12 21:27:04,106 [D]  : : :pass:mbe.c:80	(at logger.py:129) 
2019-02-12 21:27:04,106 [D]  : : :pass:mbe.c:79	(at logger.py:129) 
2019-02-12 21:27:04,106 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 21:27:04,106 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 21:27:04,122 [D] -:F:n:WD_1:mbe.c:76	(at logger.py:129) 
2019-02-12 21:27:04,142 [D] ┌:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 21:27:04,143 [D] └:F:n:WD_2:mbe.c:75	(at logger.py:129) 
2019-02-12 21:27:04,160 [D] ┌:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:27:04,160 [D] |:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 21:27:04,160 [D] └:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:04,219 [D] -:C:n:WD_1:mbe.c:75	(at logger.py:129) 
2019-02-12 21:27:04,236 [D] ┌:F:n:WD_2:mbe.c:75	(at logger.py:129) 
2019-02-12 21:27:04,236 [D] └:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:04,253 [D] ┌:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 21:27:04,253 [D] |:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:04,253 [D] └:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:04,272 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:04,298 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:04,298 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:04,319 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:04,320 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:04,320 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:04,339 [D] -:F:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:04,355 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:04,355 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:04,372 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:04,372 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:04,372 [D] └:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 21:27:04,372 [D]  : : :pass:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:04,389 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:04,407 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:04,407 [D] └:F:n:WD_2:mbe.c:70	(at logger.py:129) 
2019-02-12 21:27:04,425 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:04,425 [D] |:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 21:27:04,425 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:04,480 [D] -:C:n:WD_1:mbe.c:70	(at logger.py:129) 
2019-02-12 21:27:04,500 [D] ┌:F:n:WD_2:mbe.c:70	(at logger.py:129) 
2019-02-12 21:27:04,500 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:04,519 [D] ┌:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 21:27:04,520 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:04,520 [D] └:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:04,538 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:04,554 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:04,554 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:04,599 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:04,599 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:04,599 [D] └:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:04,617 [D] -:F:n:WD_1:mbe.c:68	(at logger.py:129) 
