2019-02-12 21:28:05,313 [D]  : : :pass:mbe.c:79	(at logger.py:129) 
2019-02-12 21:28:05,313 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 21:28:05,313 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 21:28:05,313 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 21:28:05,313 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 21:28:05,333 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:28:05,350 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:28:05,350 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:28:05,369 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:28:05,369 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:28:05,369 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:05,422 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 21:28:05,437 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:28:05,437 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:05,452 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:28:05,452 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:05,452 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:05,469 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:05,487 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:05,487 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:05,505 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:05,505 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:05,505 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:05,529 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:05,545 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:05,545 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:05,561 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:05,561 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:05,561 [D] └:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:05,561 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 21:28:05,577 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:05,593 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:05,594 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:05,607 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:05,608 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:05,608 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:28:05,658 [D] -:C:n:WD_1:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:05,673 [D] ┌:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:05,673 [D] └:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 21:28:05,689 [D] ┌:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:05,689 [D] |:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:28:05,689 [D] └:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:28:05,705 [D] -:F:n:WD_1:mbe.c:67	(at logger.py:129) 
2019-02-12 21:28:05,720 [D] ┌:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 21:28:05,720 [D] └:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 21:28:05,759 [D] ┌:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:28:05,759 [D] |:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:28:05,759 [D] └:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:28:05,781 [D] -:F:n:WD_1:mbe.c:66	(at logger.py:129) 
2019-02-12 21:28:05,805 [D] ┌:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 21:28:05,805 [D] └:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 21:28:05,825 [D] ┌:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:28:05,825 [D] |:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:28:05,825 [D] └:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 21:28:05,825 [D]  : : :pass:mbe.c:65	(at logger.py:129) 
2019-02-12 21:28:05,842 [D] -:F:n:WD_1:mbe.c:64	(at logger.py:129) 
2019-02-12 21:28:05,859 [D] ┌:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 21:28:05,859 [D] └:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 21:28:05,873 [D] ┌:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:28:05,873 [D] |:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 21:28:05,874 [D] └:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 21:28:05,922 [D] -:C:n:WD_1:mbe.c:63	(at logger.py:129) 
2019-02-12 21:28:05,936 [D] ┌:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 21:28:05,936 [D] └:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 21:28:05,951 [D] ┌:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 21:28:05,951 [D] |:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 21:28:05,951 [D] └:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 21:28:05,967 [D] -:F:n:WD_1:mbe.c:62	(at logger.py:129) 
2019-02-12 21:28:05,984 [D] ┌:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 21:28:05,984 [D] └:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 21:28:06,025 [D] ┌:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 21:28:06,025 [D] |:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 21:28:06,025 [D] └:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 21:28:06,040 [D] -:F:n:WD_1:mbe.c:61	(at logger.py:129) 
2019-02-12 21:28:06,054 [D] ┌:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 21:28:06,054 [D] └:F:n:WD_2:mbe.c:59	(at logger.py:129) 
2019-02-12 21:28:06,067 [D] ┌:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 21:28:06,067 [D] |:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 21:28:06,067 [D] └:F:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 21:28:06,067 [D]  : : :pass:mbe.c:60	(at logger.py:129) 
2019-02-12 21:28:06,082 [D] -:F:n:WD_1:mbe.c:59	(at logger.py:129) 
