2019-02-12 21:27:55,021 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 21:27:55,036 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 21:27:55,036 [D] └:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 21:27:55,090 [D] ┌:P:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 21:27:55,090 [D] |:P:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 21:27:55,090 [D] └:P:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:27:55,090 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 21:27:55,090 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 21:27:55,090 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 21:27:55,091 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 21:27:55,106 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:55,121 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:55,121 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:55,136 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:55,136 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:55,137 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:55,184 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:55,201 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:55,201 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:55,217 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:55,218 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:55,218 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:55,233 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:55,248 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
