2019-02-12 21:29:29,352 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 21:29:29,366 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 21:29:29,366 [D] └:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 21:29:29,416 [D] ┌:P:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 21:29:29,416 [D] |:P:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 21:29:29,416 [D] └:P:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:29:29,417 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 21:29:29,417 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 21:29:29,417 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 21:29:29,417 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 21:29:29,432 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:29:29,445 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:29:29,445 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:29,458 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:29:29,458 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:29,458 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:29,508 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:29,521 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:29,521 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:29,535 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:29,535 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:29,535 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:29,548 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:29,562 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:29,562 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:29,578 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:29,579 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:29,579 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
