2019-02-12 22:36:20,686 [D]  : : :pass:mbe.c:79	(at logger.py:129) 
2019-02-12 22:36:20,686 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 22:36:20,686 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 22:36:20,686 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 22:36:20,686 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 22:36:20,702 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 22:36:20,719 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 22:36:20,719 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:36:20,737 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:36:20,737 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:36:20,737 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:20,794 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 22:36:20,810 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:36:20,810 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:20,830 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:36:20,830 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:20,830 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:36:20,847 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:20,861 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:20,861 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:36:20,878 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:20,878 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
