2019-03-02 02:05:58,771 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:58,771 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:58,782 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:58,795 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:58,795 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:58,807 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:58,807 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:58,807 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:58,854 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:58,863 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:58,863 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:58,877 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:58,877 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:58,877 [D] └:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,889 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:58,901 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:58,901 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,932 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:58,932 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,932 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:58,945 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,960 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,960 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:58,974 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,974 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:58,974 [D] └:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:58,987 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:58,996 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:58,996 [D] └:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:59,010 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:59,010 [D] |:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:59,010 [D] └:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:59,023 [D] -:F:n:WD_1:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:59,035 [D] ┌:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:59,035 [D] └:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,072 [D] ┌:C:c:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:59,073 [D] |:C:c:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,073 [D] └:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,103 [D] -:C:c:WD_1:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,113 [D] ┌:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,113 [D] └:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,113 [D] ┌:C:c:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,114 [D] |:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,114 [D] └:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:59,126 [D] -:F:n:WD_1:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,160 [D] ┌:C:c:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,160 [D] └:C:c:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:59,194 [D] ┌:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,194 [D] |:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:59,194 [D] └:C:c:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:59,194 [D]  : : :pass:mug.c:36	(at logger.py:129) 
