2019-03-02 02:05:55,644 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:55,658 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:55,658 [D] └:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:55,702 [D] ┌:P:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:55,703 [D] |:P:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:55,703 [D] └:P:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:55,703 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:55,703 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:55,703 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:55,713 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:55,725 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:55,725 [D] └:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:55,773 [D] ┌:P:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:55,774 [D] |:P:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:55,774 [D] └:P:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:55,774 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:55,774 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:55,774 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:55,786 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:55,799 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:55,799 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:55,810 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:55,810 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:55,810 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:55,859 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:55,874 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:55,874 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:55,886 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
