2019-03-02 02:06:08,814 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:06:08,826 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:06:08,826 [D] └:F:n:WD_2:mug.c:62	(at logger.py:129) 
2019-03-02 02:06:08,838 [D] ┌:F:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:06:08,838 [D] |:F:n:WD_3:mug.c:62	(at logger.py:129) 
2019-03-02 02:06:08,838 [D] └:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:06:08,885 [D] -:C:n:WD_1:mug.c:62	(at logger.py:129) 
2019-03-02 02:06:08,896 [D] ┌:F:n:WD_2:mug.c:62	(at logger.py:129) 
2019-03-02 02:06:08,896 [D] └:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:06:08,908 [D] ┌:F:n:WD_3:mug.c:62	(at logger.py:129) 
2019-03-02 02:06:08,908 [D] |:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:06:08,908 [D] └:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:06:08,919 [D] -:F:n:WD_1:mug.c:61	(at logger.py:129) 
2019-03-02 02:06:08,931 [D] ┌:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:06:08,931 [D] └:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:06:08,962 [D] ┌:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:06:08,963 [D] |:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:06:08,963 [D] └:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:06:08,973 [D] -:F:n:WD_1:mug.c:60	(at logger.py:129) 
2019-03-02 02:06:08,985 [D] ┌:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:06:08,985 [D] └:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:06:08,997 [D] ┌:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:06:08,997 [D] |:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:06:08,997 [D] └:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:06:08,997 [D]  : : :pass:mug.c:59	(at logger.py:129) 
2019-03-02 02:06:08,998 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:06:08,998 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:06:08,998 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:06:08,998 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:06:08,998 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:06:08,998 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:06:08,998 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:06:08,998 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:06:08,998 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:08,998 [D] -:C:c:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:06:08,999 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:06:08,999 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:08,999 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:06:08,999 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:08,999 [D] └:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:06:08,999 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:08,999 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:08,999 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:06:08,999 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:09,000 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:06:09,000 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:09,000 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
2019-03-02 02:06:09,000 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:06:09,000 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:09,000 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:06:09,000 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:09,000 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:09,000 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:09,001 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:09,001 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:09,001 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:09,001 [D] |:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:09,001 [D] └:F:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:09,001 [D] -:F:n:WD_1:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:09,001 [D] ┌:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:09,001 [D] └:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:09,001 [D] ┌:C:c:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:09,001 [D] |:C:c:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:09,001 [D] └:C:c:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:06:09,002 [D] -:C:c:WD_1:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:09,002 [D] ┌:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:09,002 [D] └:F:n:WD_2:mug.c:48	(at logger.py:129) 
2019-03-02 02:06:09,002 [D] ┌:C:c:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:09,002 [D] |:C:c:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:06:09,002 [D] └:C:c:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:06:09,002 [D] -:F:n:WD_1:mug.c:48	(at logger.py:129) 
2019-03-02 02:06:09,002 [D] ┌:C:c:WD_2:mug.c:48	(at logger.py:129) 
2019-03-02 02:06:09,002 [D] └:C:c:WD_2:mug.c:46	(at logger.py:129) 
2019-03-02 02:06:09,002 [D] ┌:C:c:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:06:09,003 [D] |:C:c:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:06:09,003 [D] └:C:c:WD_3:mug.c:45	(at logger.py:129) 
2019-03-02 02:06:09,003 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:06:09,003 [D] -:F:n:WD_1:mug.c:46	(at logger.py:129) 
2019-03-02 02:06:09,003 [D] ┌:F:n:WD_2:mug.c:46	(at logger.py:129) 
2019-03-02 02:06:09,003 [D] └:F:n:WD_2:mug.c:45	(at logger.py:129) 
2019-03-02 02:06:09,003 [D] ┌:C:c:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:06:09,003 [D] |:C:c:WD_3:mug.c:45	(at logger.py:129) 
2019-03-02 02:06:09,003 [D] └:C:c:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:06:09,003 [D] -:C:c:WD_1:mug.c:45	(at logger.py:129) 
2019-03-02 02:06:09,003 [D] ┌:F:n:WD_2:mug.c:45	(at logger.py:129) 
2019-03-02 02:06:09,004 [D] └:F:n:WD_2:mug.c:44	(at logger.py:129) 
2019-03-02 02:06:09,004 [D] ┌:F:n:WD_3:mug.c:45	(at logger.py:129) 
2019-03-02 02:06:09,004 [D] |:F:n:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:06:09,004 [D] └:F:n:WD_3:mug.c:43	(at logger.py:129) 
2019-03-02 02:06:09,004 [D] -:F:n:WD_1:mug.c:44	(at logger.py:129) 
2019-03-02 02:06:09,004 [D] ┌:F:n:WD_2:mug.c:44	(at logger.py:129) 
2019-03-02 02:06:09,004 [D] └:F:n:WD_2:mug.c:43	(at logger.py:129) 
2019-03-02 02:06:09,004 [D] ┌:F:n:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:06:09,004 [D] |:F:n:WD_3:mug.c:43	(at logger.py:129) 
2019-03-02 02:06:09,004 [D] └:F:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:06:09,004 [D] -:C:c:WD_1:mug.c:43	(at logger.py:129) 
2019-03-02 02:06:09,005 [D] ┌:C:c:WD_2:mug.c:43	(at logger.py:129) 
2019-03-02 02:06:09,005 [D] └:C:c:WD_2:mug.c:42	(at logger.py:129) 
2019-03-02 02:06:09,005 [D] ┌:F:n:WD_3:mug.c:43	(at logger.py:129) 
2019-03-02 02:06:09,005 [D] |:F:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:06:09,005 [D] └:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:06:09,005 [D] -:C:c:WD_1:mug.c:42	(at logger.py:129) 
2019-03-02 02:06:09,005 [D] ┌:F:n:WD_2:mug.c:42	(at logger.py:129) 
2019-03-02 02:06:09,005 [D] └:F:n:WD_2:mug.c:40	(at logger.py:129) 
2019-03-02 02:06:09,005 [D] ┌:F:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:06:09,005 [D] |:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:06:09,005 [D] └:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:06:09,006 [D]  : : :pass:mug.c:41	(at logger.py:129) 
2019-03-02 02:06:09,006 [D] -:F:n:WD_1:mug.c:40	(at logger.py:129) 
2019-03-02 02:06:09,006 [D] ┌:F:n:WD_2:mug.c:40	(at logger.py:129) 
2019-03-02 02:06:09,006 [D] └:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:06:09,006 [D] ┌:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:06:09,006 [D] |:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:06:09,006 [D] └:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:06:09,006 [D] -:F:n:WD_1:mug.c:39	(at logger.py:129) 
2019-03-02 02:06:09,006 [D] ┌:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:06:09,007 [D] └:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:06:09,007 [D] ┌:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:06:09,007 [D] |:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:06:09,007 [D] └:F:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:09,007 [D] -:F:n:WD_1:mug.c:38	(at logger.py:129) 
2019-03-02 02:06:09,007 [D] ┌:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:06:09,007 [D] └:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:09,007 [D] ┌:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:06:09,007 [D] |:F:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:09,007 [D] └:F:n:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:09,008 [D] -:F:n:WD_1:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:09,008 [D] ┌:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:09,008 [D] └:F:n:WD_2:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:09,008 [D] ┌:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:09,008 [D] |:C:c:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:09,008 [D] └:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:09,008 [D] -:C:c:WD_1:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:09,008 [D] ┌:F:n:WD_2:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:09,009 [D] └:F:n:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:09,009 [D] ┌:C:c:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:09,009 [D] |:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:09,009 [D] └:C:c:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:09,009 [D] -:F:n:WD_1:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:09,009 [D] ┌:C:c:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:09,009 [D] └:C:c:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:09,009 [D] ┌:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:09,009 [D] |:C:c:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:09,010 [D] └:C:c:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:09,010 [D]  : : :pass:mug.c:34	(at logger.py:129) 
2019-03-02 02:06:09,010 [D] -:F:n:WD_1:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:09,010 [D] ┌:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:09,010 [D] └:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:09,010 [D] ┌:C:c:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:09,010 [D] |:C:c:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:09,010 [D] └:C:c:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:06:09,010 [D] -:C:c:WD_1:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:09,010 [D] ┌:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:09,010 [D] └:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] ┌:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] |:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] └:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] -:F:n:WD_1:mug.c:31	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] ┌:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] └:F:n:WD_2:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] ┌:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] |:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] └:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] -:C:c:WD_1:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] ┌:F:n:WD_2:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:09,011 [D] └:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:09,012 [D] ┌:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:09,012 [D] |:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:09,012 [D] └:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:09,012 [D] -:F:n:WD_1:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:09,012 [D] ┌:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:09,012 [D] └:F:n:WD_2:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:09,012 [D] ┌:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:09,012 [D] |:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:09,012 [D] └:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:06:09,012 [D] -:F:n:WD_1:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:09,013 [D] ┌:F:n:WD_2:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:09,013 [D] └:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:06:09,013 [D] ┌:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:09,013 [D] |:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:06:09,013 [D] └:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:06:09,013 [D] -:F:n:WD_1:mug.c:27	(at logger.py:129) 
2019-03-02 02:06:09,013 [D] ┌:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:06:09,013 [D] └:F:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:06:09,013 [D] ┌:F:n:WD_3:mug.c:27	(at logger.py:129) 
