2019-03-02 02:05:46,158 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:46,168 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:46,169 [D] └:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:46,216 [D] ┌:P:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:46,216 [D] |:P:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:46,216 [D] └:P:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:46,216 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:46,216 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:46,216 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:46,228 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:46,239 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:46,239 [D] └:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:46,250 [D] ┌:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:46,250 [D] |:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:46,250 [D] └:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:46,296 [D] -:C:n:WD_1:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:46,308 [D] ┌:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:46,308 [D] └:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:46,318 [D] ┌:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:46,318 [D] |:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:46,318 [D] └:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:46,332 [D] -:F:n:WD_1:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:46,343 [D] ┌:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:46,344 [D] └:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:46,377 [D] ┌:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:46,377 [D] |:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:46,377 [D] └:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:46,387 [D] -:F:n:WD_1:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:46,400 [D] ┌:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:46,400 [D] └:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:46,413 [D] ┌:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:46,413 [D] |:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:46,413 [D] └:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:46,424 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:46,435 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:46,435 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:46,447 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:46,448 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:46,448 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:46,494 [D] -:P:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:46,506 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:46,517 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:46,517 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:46,549 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:46,549 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:46,549 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:46,561 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:46,574 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:46,574 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:46,584 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:46,584 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:46,584 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:46,597 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:46,608 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:46,608 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:46,619 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:46,619 [D] |:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:46,619 [D] └:F:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:46,632 [D] -:F:n:WD_1:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:46,645 [D] ┌:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:46,645 [D] └:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:46,686 [D] ┌:C:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:46,686 [D] |:C:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:46,686 [D] └:C:n:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:46,719 [D] -:C:c:WD_1:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:46,731 [D] ┌:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:46,731 [D] └:F:n:WD_2:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:46,731 [D] ┌:C:c:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:46,731 [D] |:C:c:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:46,731 [D] └:C:c:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:46,744 [D] -:F:n:WD_1:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:46,779 [D] ┌:C:c:WD_2:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:46,779 [D] └:C:c:WD_2:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:46,827 [D] ┌:C:n:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:46,827 [D] |:C:n:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:46,827 [D] └:C:n:WD_3:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:46,827 [D]  : : :pass:mug.c:47	(at logger.py:129) 
