2019-03-02 02:05:48,065 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:48,065 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:48,065 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:48,065 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:48,078 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:48,090 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:48,090 [D] └:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:48,103 [D] ┌:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:48,103 [D] |:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:48,103 [D] └:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:48,150 [D] -:C:n:WD_1:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:48,162 [D] ┌:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:48,162 [D] └:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:48,172 [D] ┌:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:48,172 [D] |:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:48,172 [D] └:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:48,184 [D] -:F:n:WD_1:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:48,198 [D] ┌:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:48,198 [D] └:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:48,232 [D] ┌:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:48,232 [D] |:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:48,232 [D] └:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:48,243 [D] -:F:n:WD_1:mug.c:56	(at logger.py:129) 
