2019-03-02 02:05:49,457 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:49,457 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:49,457 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:49,457 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:49,469 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:49,481 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:49,481 [D] └:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:49,493 [D] ┌:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:49,493 [D] |:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:49,493 [D] └:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:49,536 [D] -:C:n:WD_1:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:49,548 [D] ┌:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:49,548 [D] └:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:49,560 [D] ┌:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:49,560 [D] |:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:49,560 [D] └:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:49,570 [D] -:F:n:WD_1:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:49,582 [D] ┌:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:49,582 [D] └:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:49,615 [D] ┌:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:49,615 [D] |:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:49,615 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:49,627 [D] -:F:n:WD_1:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:49,637 [D] ┌:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:49,637 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:49,650 [D] ┌:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:49,650 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:49,650 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:49,650 [D]  : : :pass:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:49,650 [D]  : : :pass:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:49,651 [D]  : : :pass:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:49,651 [D]  : : :pass:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:49,651 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:49,651 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:49,651 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:49,651 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:49,651 [D] |:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:49,651 [D] └:F:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:49,651 [D] -:F:n:WD_1:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:49,651 [D] ┌:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:49,651 [D] └:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:49,652 [D] ┌:C:c:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:49,652 [D] |:C:c:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:49,652 [D] └:C:c:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:49,652 [D] -:C:c:WD_1:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:49,652 [D] ┌:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:49,652 [D] └:F:n:WD_2:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:49,652 [D] ┌:C:c:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:49,652 [D] |:C:c:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:49,652 [D] └:C:c:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:49,652 [D] -:F:n:WD_1:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:49,653 [D] ┌:C:c:WD_2:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:49,653 [D] └:C:c:WD_2:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:49,653 [D] ┌:C:c:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:49,653 [D] |:C:c:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:49,653 [D] └:C:c:WD_3:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:49,653 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:49,653 [D] -:F:n:WD_1:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:49,653 [D] ┌:F:n:WD_2:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:49,653 [D] └:F:n:WD_2:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:49,653 [D] ┌:C:c:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:49,653 [D] |:C:c:WD_3:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:49,653 [D] └:C:c:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] -:C:c:WD_1:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] ┌:F:n:WD_2:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] └:F:n:WD_2:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] ┌:F:n:WD_3:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] |:F:n:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] └:F:n:WD_3:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] -:F:n:WD_1:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] ┌:F:n:WD_2:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] └:F:n:WD_2:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] ┌:F:n:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] |:F:n:WD_3:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:49,654 [D] └:F:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:49,655 [D] -:C:c:WD_1:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:49,655 [D] ┌:F:n:WD_2:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:49,655 [D] └:F:n:WD_2:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:49,655 [D] ┌:F:n:WD_3:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:49,655 [D] |:F:n:WD_3:mug.c:42	(at logger.py:129) 
