2019-03-02 02:05:15,507 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:15,507 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:15,507 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:15,507 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:15,519 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:15,531 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:15,531 [D] └:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:15,543 [D] ┌:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:15,543 [D] |:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:15,543 [D] └:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:15,589 [D] -:C:n:WD_1:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:15,601 [D] ┌:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:15,601 [D] └:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:15,612 [D] ┌:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:15,612 [D] |:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:15,612 [D] └:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:15,624 [D] -:F:n:WD_1:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:15,637 [D] ┌:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:15,637 [D] └:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:15,674 [D] ┌:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:15,674 [D] |:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:15,674 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:15,686 [D] -:F:n:WD_1:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:15,698 [D] ┌:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:15,699 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:15,709 [D] ┌:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:15,709 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:15,709 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:15,710 [D]  : : :pass:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:15,710 [D]  : : :pass:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:15,710 [D]  : : :pass:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:15,710 [D]  : : :pass:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:15,710 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:15,710 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:15,710 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:15,710 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
