2019-03-02 02:05:11,936 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:11,949 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:11,949 [D] └:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:11,980 [D] ┌:F:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:11,980 [D] |:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:11,980 [D] └:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:11,980 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:11,990 [D] -:F:n:WD_1:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:12,003 [D] ┌:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:12,003 [D] └:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:12,035 [D] ┌:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:12,035 [D] |:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:12,035 [D] └:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:12,048 [D] -:F:n:WD_1:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:12,063 [D] ┌:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:12,063 [D] └:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:12,076 [D] ┌:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:12,076 [D] |:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:12,076 [D] └:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:12,088 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:12,101 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:12,101 [D] └:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:12,115 [D] ┌:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:12,115 [D] |:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:12,115 [D] └:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:12,160 [D] -:C:n:WD_1:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:12,171 [D] ┌:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:12,171 [D] └:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:12,186 [D] ┌:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:12,186 [D] |:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:12,186 [D] └:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:12,198 [D] -:F:n:WD_1:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:12,210 [D] ┌:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:12,210 [D] └:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:12,245 [D] ┌:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:12,245 [D] |:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:12,245 [D] └:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:12,255 [D] -:F:n:WD_1:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:12,269 [D] ┌:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:12,269 [D] └:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:12,280 [D] ┌:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:12,280 [D] |:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:12,280 [D] └:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:12,291 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:12,304 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:12,304 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:12,317 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:12,317 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:12,317 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:12,361 [D] -:P:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:12,372 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:12,385 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:12,385 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:12,418 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:12,418 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:12,418 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:12,430 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:12,441 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:12,441 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:12,455 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:12,455 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:12,455 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:12,471 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:12,482 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:12,483 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:12,495 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:12,495 [D] |:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:12,495 [D] └:F:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:12,506 [D] -:F:n:WD_1:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:12,520 [D] ┌:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:12,520 [D] └:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:12,564 [D] ┌:C:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:12,564 [D] |:C:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:12,564 [D] └:C:n:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:12,599 [D] -:C:c:WD_1:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:12,610 [D] ┌:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:12,610 [D] └:F:n:WD_2:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:12,610 [D] ┌:C:c:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:12,610 [D] |:C:c:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:12,610 [D] └:C:c:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:12,621 [D] -:F:n:WD_1:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:12,657 [D] ┌:C:c:WD_2:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:12,657 [D] └:C:c:WD_2:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:12,701 [D] ┌:C:n:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:12,701 [D] |:C:n:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:12,701 [D] └:C:n:WD_3:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:12,701 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:12,713 [D] -:F:n:WD_1:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:12,723 [D] ┌:F:n:WD_2:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:12,723 [D] └:F:n:WD_2:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:12,723 [D] ┌:C:c:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:12,723 [D] |:C:c:WD_3:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:12,723 [D] └:C:c:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:12,771 [D] -:C:n:WD_1:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:12,782 [D] ┌:F:n:WD_2:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:12,782 [D] └:F:n:WD_2:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:12,794 [D] ┌:F:n:WD_3:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:12,794 [D] |:F:n:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:12,794 [D] └:F:n:WD_3:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:12,806 [D] -:F:n:WD_1:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:12,819 [D] ┌:F:n:WD_2:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:12,819 [D] └:F:n:WD_2:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:12,831 [D] ┌:F:n:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:12,831 [D] |:F:n:WD_3:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:12,831 [D] └:F:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:12,873 [D] -:C:n:WD_1:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:12,886 [D] ┌:F:n:WD_2:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:12,886 [D] └:F:n:WD_2:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:12,899 [D] ┌:F:n:WD_3:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:12,899 [D] |:F:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:12,899 [D] └:F:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:12,911 [D] -:F:n:WD_1:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:12,922 [D] ┌:F:n:WD_2:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:12,922 [D] └:F:n:WD_2:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:12,956 [D] ┌:F:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:12,956 [D] |:F:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:12,956 [D] └:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:12,969 [D] -:F:n:WD_1:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:12,981 [D] ┌:F:n:WD_2:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:12,981 [D] └:F:n:WD_2:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:12,992 [D] ┌:F:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:12,992 [D] |:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:12,992 [D] └:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:13,004 [D] -:F:n:WD_1:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:13,017 [D] ┌:F:n:WD_2:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:13,017 [D] └:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:13,030 [D] ┌:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:13,030 [D] |:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:13,030 [D] └:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:13,043 [D] -:F:n:WD_1:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:13,084 [D] ┌:P:c:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:13,084 [D] └:P:c:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:13,084 [D]  : : :pass:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:13,085 [D]  : : :pass:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:13,085 [D]  : : :pass:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:13,085 [D]  : : :pass:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:13,085 [D]  : : :pass:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:13,085 [D]  : : :pass:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:13,085 [D]  : : :pass:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:13,097 [D] -:F:n:WD_1:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:13,108 [D] ┌:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:13,108 [D] └:F:n:WD_2:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:13,157 [D] ┌:P:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:13,157 [D] |:P:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:13,157 [D] └:P:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:13,157 [D]  : : :pass:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:13,157 [D]  : : :pass:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:13,158 [D]  : : :pass:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:13,170 [D] -:F:n:WD_1:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:13,184 [D] ┌:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:13,184 [D] └:F:n:WD_2:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:13,195 [D] ┌:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:13,195 [D] |:F:n:WD_3:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:13,195 [D] └:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:13,239 [D] -:P:n:WD_1:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:13,253 [D] -:F:n:WD_1:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:13,264 [D] ┌:F:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:13,264 [D] └:F:n:WD_2:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:13,275 [D] ┌:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:13,275 [D] |:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:13,276 [D] └:F:n:WD_3:mug.c:22	(at logger.py:129) 
2019-03-02 02:05:13,322 [D] -:P:n:WD_1:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:13,322 [D]  : : :pass:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:13,370 [D] -:C:n:WD_1:mug.c:22	(at logger.py:129) 
2019-03-02 02:05:13,413 [D] ┌:C:n:WD_2:mug.c:22	(at logger.py:129) 
2019-03-02 02:05:13,413 [D] └:C:n:WD_2:mug.c:21	(at logger.py:129) 
2019-03-02 02:05:13,423 [D] ┌:F:n:WD_3:mug.c:22	(at logger.py:129) 
2019-03-02 02:05:13,423 [D] |:F:n:WD_3:mug.c:21	(at logger.py:129) 
2019-03-02 02:05:13,423 [D] └:F:n:WD_3:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:13,470 [D] -:C:n:WD_1:mug.c:21	(at logger.py:129) 
2019-03-02 02:05:13,482 [D] ┌:F:n:WD_2:mug.c:21	(at logger.py:129) 
2019-03-02 02:05:13,482 [D] └:F:n:WD_2:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:13,493 [D] ┌:F:n:WD_3:mug.c:21	(at logger.py:129) 
2019-03-02 02:05:13,494 [D] |:F:n:WD_3:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:13,494 [D] └:F:n:WD_3:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:13,507 [D] -:F:n:WD_1:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:13,520 [D] ┌:F:n:WD_2:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:13,520 [D] └:F:n:WD_2:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:13,533 [D] ┌:F:n:WD_3:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:13,533 [D] |:F:n:WD_3:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:13,533 [D] └:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:13,580 [D] -:C:n:WD_1:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:13,591 [D] ┌:F:n:WD_2:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:13,591 [D] └:F:n:WD_2:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:13,604 [D] ┌:F:n:WD_3:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:13,604 [D] |:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:13,604 [D] └:F:n:WD_3:mug.c:15	(at logger.py:129) 
2019-03-02 02:05:13,617 [D] -:F:n:WD_1:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:13,630 [D] ┌:F:n:WD_2:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:13,630 [D] └:F:n:WD_2:mug.c:15	(at logger.py:129) 
2019-03-02 02:05:13,641 [D] ┌:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:13,641 [D] |:F:n:WD_3:mug.c:15	(at logger.py:129) 
2019-03-02 02:05:13,641 [D] └:F:n:WD_3:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:13,641 [D]  : : :pass:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:13,641 [D]  : : :pass:mug.c:16	(at logger.py:129) 
2019-03-02 02:05:13,688 [D] -:C:n:WD_1:mug.c:15	(at logger.py:129) 
2019-03-02 02:05:13,700 [D] ┌:F:n:WD_2:mug.c:15	(at logger.py:129) 
2019-03-02 02:05:13,701 [D] └:F:n:WD_2:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:13,712 [D] ┌:F:n:WD_3:mug.c:15	(at logger.py:129) 
2019-03-02 02:05:13,712 [D] |:F:n:WD_3:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:13,712 [D] └:F:n:WD_3:mug.c:12	(at logger.py:129) 
2019-03-02 02:05:13,712 [D]  : : :pass:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:13,723 [D] -:F:n:WD_1:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:13,736 [D] ┌:F:n:WD_2:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:13,736 [D] └:F:n:WD_2:mug.c:12	(at logger.py:129) 
2019-03-02 02:05:13,748 [D] ┌:F:n:WD_3:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:13,748 [D] |:F:n:WD_3:mug.c:12	(at logger.py:129) 
2019-03-02 02:05:13,748 [D] └:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:13,758 [D] -:F:n:WD_1:mug.c:12	(at logger.py:129) 
2019-03-02 02:05:13,772 [D] ┌:F:n:WD_2:mug.c:12	(at logger.py:129) 
2019-03-02 02:05:13,772 [D] └:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:13,785 [D] ┌:F:n:WD_3:mug.c:12	(at logger.py:129) 
2019-03-02 02:05:13,785 [D] |:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:13,785 [D] └:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:13,821 [D] -:P:c:WD_1:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:13,834 [D] -:F:n:WD_1:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:13,847 [D] ┌:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:13,847 [D] └:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:13,857 [D] ┌:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:13,858 [D] |:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:13,858 [D] └:F:n:WD_3:mug.c:5	(at logger.py:129) 
2019-03-02 02:05:13,872 [D] -:F:n:WD_1:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:13,886 [D] ┌:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:13,886 [D] └:F:n:WD_2:mug.c:5	(at logger.py:129) 
2019-03-02 02:05:13,899 [D] ┌:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:13,899 [D] |:F:n:WD_3:mug.c:5	(at logger.py:129) 
2019-03-02 02:05:13,899 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:13,899 [D]  : : :pass:mug.c:8	(at logger.py:129) 
2019-03-02 02:05:13,899 [D]  : : :pass:mug.c:7	(at logger.py:129) 
2019-03-02 02:05:13,899 [D]  : : :pass:mug.c:6	(at logger.py:129) 
2019-03-02 02:05:13,911 [D] -:F:n:WD_1:mug.c:5	(at logger.py:129) 
2019-03-02 02:05:13,923 [D] ┌:F:n:WD_2:mug.c:5	(at logger.py:129) 
2019-03-02 02:05:13,923 [D] └:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:13,924 [D] ┌:F:n:WD_3:mug.c:5	(at logger.py:129) 
