2019-03-02 02:05:38,020 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:38,030 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:38,031 [D] └:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:38,075 [D] ┌:P:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:38,075 [D] |:P:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:38,075 [D] └:P:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:38,075 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:38,075 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:38,075 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:38,087 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:38,098 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:38,098 [D] └:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:38,142 [D] ┌:P:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:38,143 [D] |:P:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:38,143 [D] └:P:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:38,143 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:38,143 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:38,143 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:38,155 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:38,167 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:38,167 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:38,178 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:38,178 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:38,178 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:38,224 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:38,236 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:38,236 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:38,247 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:38,247 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:38,247 [D] └:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:38,259 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:38,271 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:38,271 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:38,302 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:38,302 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:38,302 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:38,312 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:38,326 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:38,326 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:38,338 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:38,338 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:38,338 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:38,349 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:38,361 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:38,361 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:38,374 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:38,374 [D] |:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:38,374 [D] └:F:n:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:38,386 [D] -:F:n:WD_1:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:38,420 [D] ┌:P:c:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:38,420 [D] └:P:c:WD_2:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:38,420 [D]  : : :pass:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:38,420 [D]  : : :pass:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:38,420 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:38,420 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:38,420 [D]  : : :pass:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:38,420 [D]  : : :pass:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:38,420 [D]  : : :pass:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:38,431 [D] -:F:n:WD_1:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:38,444 [D] ┌:F:n:WD_2:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:38,444 [D] └:F:n:WD_2:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:38,491 [D] ┌:P:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:38,491 [D] |:P:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:38,491 [D] └:P:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:38,491 [D]  : : :pass:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:38,491 [D]  : : :pass:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:38,502 [D] -:F:n:WD_1:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:38,512 [D] ┌:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:38,512 [D] └:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:38,558 [D] ┌:C:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:38,558 [D] |:C:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:38,558 [D] └:C:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:38,590 [D] -:C:c:WD_1:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:38,601 [D] ┌:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:38,601 [D] └:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:38,601 [D] ┌:C:c:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:38,601 [D] |:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:38,601 [D] └:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:38,611 [D] -:F:n:WD_1:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:38,647 [D] ┌:C:c:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:38,648 [D] └:C:c:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:38,690 [D] ┌:C:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:38,690 [D] |:C:n:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:38,690 [D] └:C:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:38,691 [D]  : : :pass:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:38,701 [D] -:F:n:WD_1:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:38,711 [D] ┌:F:n:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:38,711 [D] └:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:38,711 [D] ┌:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:38,711 [D] |:C:c:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:38,712 [D] └:C:c:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:38,757 [D] -:C:n:WD_1:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:38,769 [D] ┌:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:38,769 [D] └:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:38,779 [D] ┌:F:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:38,779 [D] |:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:38,779 [D] └:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:38,792 [D] -:F:n:WD_1:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:38,802 [D] ┌:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:38,803 [D] └:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:38,813 [D] ┌:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:38,813 [D] |:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:38,813 [D] └:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:39,167 [D] -:C:n:WD_1:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:39,252 [D] ┌:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:39,252 [D] └:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:39,262 [D] ┌:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:39,263 [D] |:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:39,263 [D] └:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:39,276 [D] -:F:n:WD_1:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:39,287 [D] ┌:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:39,287 [D] └:F:n:WD_2:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:39,318 [D] ┌:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:39,319 [D] |:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:39,319 [D] └:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:39,328 [D] -:F:n:WD_1:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:39,341 [D] ┌:F:n:WD_2:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:39,341 [D] └:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:39,352 [D] ┌:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:39,352 [D] |:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:39,352 [D] └:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:39,363 [D] -:F:n:WD_1:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:39,376 [D] ┌:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:39,376 [D] └:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:39,388 [D] ┌:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:39,388 [D] |:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:39,388 [D] └:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:39,388 [D]  : : :pass:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:39,400 [D] -:F:n:WD_1:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:39,412 [D] ┌:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:39,412 [D] └:F:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:39,424 [D] ┌:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:39,424 [D] |:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:39,424 [D] └:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:39,424 [D]  : : :pass:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:39,471 [D] -:C:n:WD_1:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:39,711 [D] ┌:C:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:39,712 [D] └:C:n:WD_2:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:39,723 [D] ┌:F:n:WD_3:mug.c:25	(at logger.py:129) 
