2019-03-02 02:05:40,500 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:40,500 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:40,500 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:40,500 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:40,500 [D]  : : :pass:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:40,501 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:40,501 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:40,501 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:40,513 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:40,527 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:40,527 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:40,539 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:40,539 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:40,539 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:40,585 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:40,597 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:40,597 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:40,609 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:40,609 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:40,609 [D] └:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:40,621 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:40,633 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:40,634 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:40,668 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
