2019-03-02 02:06:16,747 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:06:16,747 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:06:16,747 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:06:16,747 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:06:16,747 [D]  : : :pass:mug.c:59	(at logger.py:129) 
2019-03-02 02:06:16,747 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:06:16,747 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:06:16,747 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:06:16,760 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:06:16,772 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:06:16,772 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:06:16,784 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:06:16,784 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:06:16,784 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:17,026 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:06:17,099 [D] ┌:C:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:06:17,099 [D] └:C:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:17,109 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:06:17,110 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:17,110 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:17,150 [D] -:C:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:17,161 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:17,161 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:17,173 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:06:17,174 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:17,174 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:17,174 [D]  : : :pass:mug.c:52	(at logger.py:129) 
2019-03-02 02:06:17,185 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:17,195 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:17,195 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:17,226 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:06:17,226 [D] |:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:17,226 [D] └:F:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:17,237 [D] -:F:n:WD_1:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:17,248 [D] ┌:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:17,248 [D] └:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:17,260 [D] ┌:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:06:17,260 [D] |:F:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:17,260 [D] └:F:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:17,272 [D] -:F:n:WD_1:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:17,283 [D] ┌:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:17,283 [D] └:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:17,294 [D] ┌:F:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:06:17,294 [D] |:F:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:17,294 [D] └:F:n:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:17,294 [D]  : : :pass:mug.c:48	(at logger.py:129) 
2019-03-02 02:06:17,294 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:06:17,294 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:06:17,294 [D]  : : :pass:mug.c:45	(at logger.py:129) 
2019-03-02 02:06:17,294 [D]  : : :pass:mug.c:44	(at logger.py:129) 
2019-03-02 02:06:17,295 [D]  : : :pass:mug.c:43	(at logger.py:129) 
2019-03-02 02:06:17,295 [D]  : : :pass:mug.c:42	(at logger.py:129) 
2019-03-02 02:06:17,295 [D]  : : :pass:mug.c:41	(at logger.py:129) 
2019-03-02 02:06:17,295 [D]  : : :pass:mug.c:40	(at logger.py:129) 
2019-03-02 02:06:17,295 [D]  : : :pass:mug.c:39	(at logger.py:129) 
2019-03-02 02:06:17,295 [D]  : : :pass:mug.c:38	(at logger.py:129) 
2019-03-02 02:06:17,308 [D] -:F:n:WD_1:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:17,320 [D] ┌:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:17,320 [D] └:F:n:WD_2:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:17,352 [D] ┌:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:06:17,352 [D] |:C:c:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:17,352 [D] └:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:17,385 [D] -:C:c:WD_1:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:17,395 [D] ┌:F:n:WD_2:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:17,395 [D] └:F:n:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:17,395 [D] ┌:C:c:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:06:17,395 [D] |:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:17,395 [D] └:C:c:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:17,407 [D] -:F:n:WD_1:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:17,458 [D] ┌:C:c:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:17,459 [D] └:C:c:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:17,537 [D] ┌:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:06:17,537 [D] |:C:c:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:17,537 [D] └:C:c:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:17,537 [D]  : : :pass:mug.c:34	(at logger.py:129) 
2019-03-02 02:06:17,547 [D] -:F:n:WD_1:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:17,561 [D] ┌:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:17,561 [D] └:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:17,561 [D] ┌:C:c:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:06:17,561 [D] |:C:c:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:17,561 [D] └:C:c:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:06:17,594 [D] -:C:c:WD_1:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:17,606 [D] ┌:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:17,606 [D] └:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:06:17,616 [D] ┌:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:06:17,617 [D] |:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:06:17,617 [D] └:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:17,628 [D] -:F:n:WD_1:mug.c:31	(at logger.py:129) 
2019-03-02 02:06:17,642 [D] ┌:F:n:WD_2:mug.c:31	(at logger.py:129) 
