2019-02-12 21:28:39,591 [D]  : : :pass:mbe.c:79	(at logger.py:129) 
2019-02-12 21:28:39,591 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 21:28:39,591 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 21:28:39,591 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 21:28:39,591 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 21:28:39,609 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:28:39,626 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:28:39,626 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:28:39,643 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:28:39,643 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:28:39,643 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:39,693 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 21:28:39,709 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:28:39,709 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:39,726 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:28:39,726 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:39,726 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:39,743 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:39,763 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:39,763 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:39,786 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:28:39,786 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:39,787 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:39,807 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:39,877 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:39,877 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:39,912 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:28:39,912 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:39,912 [D] └:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:39,912 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 21:28:39,927 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:39,943 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:39,943 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:39,960 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:28:39,960 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:39,960 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:28:40,014 [D] -:C:n:WD_1:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:40,030 [D] ┌:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:40,030 [D] └:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 21:28:40,049 [D] ┌:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:28:40,049 [D] |:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:28:40,049 [D] └:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:28:40,069 [D] -:F:n:WD_1:mbe.c:67	(at logger.py:129) 
