2019-03-02 02:05:03,175 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:03,186 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:03,186 [D] └:F:n:WD_2:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:03,197 [D] ┌:F:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:03,197 [D] |:F:n:WD_3:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:03,197 [D] └:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:03,242 [D] -:C:n:WD_1:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:03,254 [D] ┌:F:n:WD_2:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:03,254 [D] └:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:03,265 [D] ┌:F:n:WD_3:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:03,265 [D] |:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:03,265 [D] └:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:03,277 [D] -:F:n:WD_1:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:03,289 [D] ┌:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:03,290 [D] └:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:03,324 [D] ┌:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:03,324 [D] |:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:03,324 [D] └:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:03,334 [D] -:F:n:WD_1:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:03,345 [D] ┌:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:03,346 [D] └:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:03,346 [D] ┌:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:03,346 [D] |:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:03,346 [D] └:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:03,358 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:03,370 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:03,370 [D] └:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:03,411 [D] ┌:P:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:03,412 [D] |:P:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:03,412 [D] └:P:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:03,412 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:03,412 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:03,412 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:03,423 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:03,437 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:03,437 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:03,448 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:03,448 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:03,448 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:03,495 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:03,507 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:03,507 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:03,519 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:03,520 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:03,520 [D] └:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:03,530 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:03,545 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:03,545 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:03,577 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:03,577 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:03,577 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:03,589 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:03,599 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:03,599 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:03,612 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:03,613 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:03,613 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:03,625 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:03,638 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:03,638 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:03,648 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:03,648 [D] |:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:03,648 [D] └:F:n:WD_3:mug.c:49	(at logger.py:129) 
